row_id,column,value,error_type,violated_rule,reason,suggested_fix,confidence,source,anomaly_score,col_contribution,subtype
50,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
52,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
53,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
54,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
55,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
56,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
58,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
59,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
60,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
61,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
63,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
66,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
67,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
68,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
69,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
70,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
73,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
74,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
76,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
77,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
80,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
81,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
82,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
83,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
84,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
85,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
86,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
89,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
90,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
92,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
93,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
94,sched_dep_time,,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,,stage1,,,
